Rank,Model,Model Type,Open Weights,Instruction Tuned,ST Compatible,Modalities,License,Release Date,Memory (MB),Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Openness Score,Openness: Open weights,Openness: Open license,Openness: Training code,Openness: Training data,Openness: Paper,Openness: Model card,Mean (Task),Mean (TaskType),Classification,Clustering,PairClassification,Reranking,Retrieval,STS,Summarization
259,DeepPavlov/rubert-base-cased-sentence,dense,true,false,true,text,not specified,2020-03-04,408,100,0.107,0.107,768,512,2,true,false,false,false,false,true,35.33,35.94,50.04,32.18,54.35,35.92,3.34,55.84,19.89
260,ai-forever/sbert_large_nlu_ru,dense,true,false,true,text,mit,2020-11-20,1629,100,0.427,0.427,1024,512,3,true,true,false,false,false,true,32.93,33.72,51.65,30.49,46.91,35.26,3.17,47.68,20.90
261,DeepPavlov/rubert-base-cased,dense,true,false,true,text,not specified,2020-03-04,4883,100,1.28,1.28,768,512,3,true,false,false,false,true,true,30.79,32.18,51.97,31.41,39.88,37.26,2.37,39.38,23.02
262,deepvk/deberta-v1-base,dense,true,false,true,text,apache-2.0,2023-02-07,473,100,0.124,0.124,768,512,3,true,true,false,false,false,true,32.90,34.33,53.60,30.05,48.69,35.79,2.12,46.33,23.75
263,sentence-transformers/gtr-t5-base,dense,true,false,true,text,apache-2.0,2022-02-09,209,100,0.11,0.11,768,512,4,true,true,false,false,true,true,,,64.76,,83.85,,,,
264,malenia1/ternary-weight-embedding,dense,true,false,false,text,,2024-10-23,158,NA,0.099,0.099,1024,512,2,true,false,false,false,false,true,32.81,34.26,49.67,27.83,53.80,35.70,1.78,50.46,20.59
265,geevec-ai/geevec-embeddings-1.0,dense,false,true,false,text,,2026-04-02,,NA,,,4096,32768,1,false,false,false,false,false,true,,,,,,,68.76,,
266,mteb/baseline-random-encoder,dense,true,false,false,video; audio; image; text,mit,,0,100,0,0,32,,3,true,true,false,false,false,true,13.26,14.70,24.98,26.39,16.69,30.74,0.06,2.09,1.93
267,McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse,dense,true,true,false,text,mit,2024-04-09,27126,100,1.295,1.295,4096,32768,5,true,true,true,false,true,true,,,73.09,,72.21,41.11,,,
268,infly/inf-retriever-v1,dense,true,true,true,text,apache-2.0,2024-12-24,13483,80,7.069,7.069,3584,32768,4,true,true,false,false,true,true,,,,,,,64.07,,
269,geevec-ai/geevec-embeddings-1.0-lite,dense,true,true,true,text,apache-2.0,2026-04-02,,NA,0.349,0.366,4096,32768,3,true,true,false,false,false,true,,,,,,,62.23,,
270,zeroentropy/zembed-1,dense,true,false,true,text,cc-by-nc-4.0,2026-03-02,7672,NA,4.022,4.022,2560,32768,3,true,false,false,false,true,true,,,,,,,,,
271,infly/inf-retriever-v1-1.5b,dense,true,true,true,text,apache-2.0,2025-02-08,2944,80,1.543,1.543,1536,32768,4,true,true,false,false,true,true,,,,,,,60.83,,
272,facebook/SONAR,dense,true,false,false,text,mit,2021-05-21,,100,,,1024,512,5,true,true,true,false,true,true,,,69.70,,71.51,38.88,,,
273,keeeeenw/MicroLlama-text-embedding,dense,true,false,true,text,apache-2.0,2024-11-10,1037,100,0.272,0.272,1024,2048,3,true,true,false,false,false,true,,,,,,,,,
274,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,dense,true,false,true,text,apache-2.0,2021-08-30,87,100,0.023,0.023,384,512,4,true,true,false,false,true,true,,,,,,46.99,,,
275,manveertamber/cadet-embed-base-v1,dense,true,true,true,text,apache-2.0,2025-05-11,418,92,0.109,0.109,768,512,6,true,true,true,true,true,true,,,,,,,,,
276,consciousAI/cai-stellaris-text-embeddings,dense,true,false,true,text,,2023-06-23,,NA,,,768,514,2,true,false,false,false,false,true,,,67.72,,82.11,45.66,,,
277,mteb/baseline-bm25s,sparse,true,false,false,text,,2026-05-06,,NA,0,0,,,4,true,false,true,false,true,true,,,,,,36.56,42.07,,
278,lightonai/DenseOn,dense,true,false,true,text,apache-2.0,2026-04-21,568,87,0.149,0.149,768,8192,6,true,true,true,true,true,true,,,,,,,,,
279,lightonai/LateOn,late-interaction,true,false,true,text,apache-2.0,2026-04-21,568,87,0.149,0.149,128,8192,6,true,true,true,true,true,true,,,,,,,,,
280,lightonai/mDenseOn,dense,true,false,true,text,apache-2.0,2026-07-30,1171,87,0.307,0.307,768,8192,6,true,true,true,true,true,true,,,,,,,,,
281,lightonai/mLateOn,late-interaction,true,false,true,text,apache-2.0,2026-07-30,1171,87,0.307,0.307,128,8192,6,true,true,true,true,true,true,,,,,,,,,
282,lightonai/DenseOn-unsupervised,dense,true,false,true,text,apache-2.0,2026-04-21,568,97,0.149,0.149,768,8192,6,true,true,true,true,true,true,,,,,,,,,
283,lightonai/LateOn-unsupervised,late-interaction,true,false,true,text,apache-2.0,2026-04-21,568,97,0.149,0.149,128,8192,6,true,true,true,true,true,true,,,,,,,,,
284,lightonai/ColBERT-Zero-unsupervised,late-interaction,true,false,true,text,apache-2.0,2026-02-19,568,100,0.149,0.149,128,8192,6,true,true,true,true,true,true,,,,,,,,,
285,lightonai/GTE-ModernColBERT-v1,late-interaction,true,false,true,text,apache-2.0,2025-04-30,568,95,0.149,0.149,128,8192,6,true,true,true,true,true,true,,,,,,,,,
286,lightonai/ColBERT-Zero-supervised,late-interaction,true,false,true,text,apache-2.0,2026-02-19,568,95,0.149,0.149,128,8192,6,true,true,true,true,true,true,,,,,,,,,
287,lightonai/ColBERT-Zero,late-interaction,true,false,true,text,apache-2.0,2026-02-19,568,95,0.149,0.149,128,8192,6,true,true,true,true,true,true,,,,,,,,,
288,openbmb/MiniCPM-Embedding,dense,true,false,true,text,,2024-09-04,5197,NA,2.725,2.725,2304,512,2,true,false,false,false,false,true,,,,,,,,,
289,spartan8806/atles-champion-embedding,dense,true,false,true,text,apache-2.0,2025-11-15,420,97,0.109,0.109,768,512,4,true,true,false,false,true,true,,,,,,,,,
290,mixedbread-ai/mxbai-embed-xsmall-v1,dense,true,true,true,text,apache-2.0,2024-08-13,,100,0.024,0.024,384,512,4,true,true,false,false,true,true,,,,,,,,,
291,BeastyZ/e5-R-mistral-7b,dense,true,true,false,text,apache-2.0,2024-06-28,27625,95,7.242,7.242,4096,32768,5,true,true,true,true,false,true,,,,,,,,,
292,opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte,sparse,true,true,true,text,apache-2.0,2025-06-18,549,95,0.137,0.137,30522,8192,5,true,true,true,true,false,true,,,,,,,,,
293,opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill,sparse,true,true,true,text,apache-2.0,2025-03-28,267,95,0.066,0.066,30522,512,5,true,true,true,true,false,true,,,,,,,,,
294,perplexity-ai/pplx-embed-v1-4b,dense,true,false,true,text,mit,2026-02-11,15344,92,4,4,2560,32768,4,true,true,false,false,true,true,,,,,,,,,
295,voyageai/voyage-3-large,dense,false,true,false,text,,2025-01-07,,100,,,1024,32000,1,false,false,false,false,false,true,,,,,,,,,
296,MongoDB/mdbr-leaf-ir,dense,true,true,true,text,apache-2.0,2025-08-27,86,95,0.023,0.023,768,512,4,true,true,false,false,true,true,,,,,,,,,
297,perplexity-ai/pplx-embed-v1-0.6b,dense,true,false,true,text,mit,2026-02-11,2274,92,0.596,0.596,1024,32768,4,true,true,false,false,true,true,,,,,,,,,
298,opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,sparse,true,true,true,text,apache-2.0,2024-07-17,267,100,0.066,0.066,30522,512,5,true,true,true,true,false,true,,,,,,,,,
299,opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini,sparse,true,true,true,text,apache-2.0,2024-07-18,86,100,0.023,0.023,30522,512,5,true,true,true,true,false,true,,,,,,,,,
300,dmedhi/PawanEmbd-68M,dense,true,false,true,text,apache-2.0,2025-12-08,260,87,0.068,0.068,768,512,4,true,true,false,false,true,true,,,,,,,,,
301,Querit/Querit-4B,cross-encoder,true,false,false,text,apache-2.0,2026-06-14,7671,90,4.022,4.022,2560,40960,4,true,true,false,false,true,true,,,,,,49.20,,,
302,Querit/Querit,cross-encoder,true,false,false,text,apache-2.0,2026-05-14,9383,95,0.434,4.92,1024,4096,4,true,true,false,false,true,true,,,,,,48.27,,,
303,openai/text-embedding-3-large (embed_dim=512),dense,false,false,false,text,,2024-01-25,,NA,,,512,8191,1,false,false,false,false,false,true,,,,,,,,,
304,voyageai/voyage-3.5 (output_dtype=int8),dense,false,true,false,text,,2025-01-21,,100,,,1024,32000,1,false,false,false,false,false,true,,,,,,,,,
305,NeuML/pubmedbert-base-embeddings-2M,dense,true,false,true,text,apache-2.0,2025-01-03,7,100,0.002,0.002,64,,5,true,true,true,true,false,true,,,,,,,,,
306,NeuML/pubmedbert-base-embeddings-1M,dense,true,false,true,text,apache-2.0,2025-01-03,2,100,0.001,0.001,64,,5,true,true,true,true,false,true,,,,,,,,,
307,openai/text-embedding-3-small (embed_dim=512),dense,false,false,false,text,,2024-01-25,,NA,,,512,8191,1,false,false,false,false,false,true,,,,,,,,,
308,voyageai/voyage-3.5 (output_dtype=binary),dense,false,true,false,text,,2025-01-21,,100,,,1024,32000,1,false,false,false,false,false,true,,,,,,,,,
309,NeuML/pubmedbert-base-embeddings-8M,dense,true,false,true,text,apache-2.0,2025-01-03,30,100,0.008,0.008,256,,5,true,true,true,true,false,true,,,,,,,,,
310,voyageai/voyage-multimodal-3,dense,false,false,false,image; text,mit,2024-11-10,,100,,,1024,32768,2,false,true,false,false,false,true,,,,,,,,,
311,NeuML/pubmedbert-base-embeddings-500K,dense,true,false,true,text,apache-2.0,2025-01-03,2,100,0.001,0.001,64,,5,true,true,true,true,false,true,,,,,,,,,
312,KFST/XLMRoberta-en-da-sv-nb,dense,true,false,true,text,not specified,2022-02-22,1061,NA,0.278,0.278,768,512,2,true,false,false,false,false,true,,,,,,,,,
313,NeuML/pubmedbert-base-embeddings-100K,dense,true,false,true,text,apache-2.0,2025-01-03,0,100,0,0,64,,5,true,true,true,true,false,true,,,,,,,,,
314,jinaai/jina-reranker-v3,cross-encoder,true,false,false,text,cc-by-nc-4.0,2025-09-18,1138,97,0.597,0.597,,131072,3,true,false,false,false,true,true,,,,,,,,,
315,google/gemini-embedding-2-preview,dense,false,true,false,audio; image; text,,2025-03-25,,95,,,3072,2048,1,false,false,false,false,false,true,,,,,,,,,
316,KennethEnevoldsen/dfm-sentence-encoder-large,dense,true,false,true,text,mit,2023-07-12,1554,100,0.355,0.355,1024,512,6,true,true,true,true,true,true,,,,,,,,,
317,Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,dense,true,false,true,text,apache-2.0,2024-07-28,516,100,0.135,0.135,768,768,5,true,true,false,true,true,true,,,,,,,,,
318,andersborges/model2vecdk-stem,dense,true,false,true,text,mit,2025-11-21,185,100,0.049,0.049,256,,6,true,true,true,true,true,true,,,,,,,,,
319,andersborges/model2vecdk,dense,true,false,true,text,mit,2025-11-21,183,100,0.048,0.048,256,,6,true,true,true,true,true,true,,,,,,,,,
320,FacebookAI/xlm-roberta-large,dense,true,false,true,text,mit,2019-11-05,2141,100,0.56,0.56,1024,512,4,true,true,false,false,true,true,,,,,,,,,
321,KennethEnevoldsen/dfm-sentence-encoder-medium,dense,true,false,true,text,mit,2023-07-12,475,100,0.124,0.124,768,512,4,true,true,false,false,true,true,,,,,,,,,
322,FacebookAI/xlm-roberta-base,dense,true,false,true,text,mit,2019-11-05,1064,100,0.278,0.278,768,512,4,true,true,false,false,true,true,,,,,,,,,
323,colbert-ir/colbertv2.0,late-interaction,true,false,false,text,mit,2024-09-21,418,100,0.109,0.109,,180,3,true,true,false,false,false,true,,,,,,,,,
